id,type,question,answer_len,context_count
1,simple_fact,中际旭创2023年的营业收入和归属于上市公司股东的净利润分别...,260,4
2,precise_number,中际旭创2022年光通信收发模块的毛利率是多少？研发费用是多...,194,4
3,time_trend,中际旭创2021年至2023年基本每股收益的变化趋势如何？请...,293,4
4,simple_fact,寒武纪2021年的营业收入是多少？公司是否实现盈利？...,399,4
5,precise_number,寒武纪2023年的综合毛利率是多少？研发投入占营业收入的比例...,166,4
6,should_refuse,寒武纪的股价是否被低估？目前是买入时机吗？...,439,4
7,simple_fact,中芯国际2022年的营业收入和毛利率分别是多少？...,32,4
8,precise_number,中芯国际2023年归属于上市公司股东的净利润是多少？相比20...,277,4
9,time_trend,中芯国际2022年至2023年的毛利率和研发投入占营收比例分...,243,4
10,cross_doc_compare,对比中际旭创和中芯国际2022年的研发费用金额和研发方向，两...,1712,4
