id,type,question,answer_len,context_count
21,simple_fact,比亚迪2023年的营业收入是多少？...,63,8
22,simple_fact,美的集团2023年的营业总收入是多少？...,26,8
23,simple_fact,招商银行2023年的营业收入是多少？...,29,8
24,precise_number,比亚迪2023年归属于上市公司股东的净利润是多少亿元？同比增...,15,8
25,precise_number,美的集团2023年的研发投入金额是多少？占营业收入的比例是多...,48,8
26,precise_number,招商银行2023年的不良贷款率是多少？拨备覆盖率是多少？...,47,8
27,cross_doc_compare,比较比亚迪和美的集团2023年的毛利率，哪家公司更高？分别是...,15,8
28,cross_doc_compare,对比招商银行和中国平安2023年的净资产收益率（ROE），哪...,15,8
29,time_trend,比亚迪2021年至2023年营业收入的变化趋势如何？三年的具...,14,8
30,time_trend,美的集团2021年到2023年的净利润变化趋势是怎样的？...,14,8
