文件名称,问题,答案,打分1-10
82号建议案验船师术语表.csv,在中英混用沟通中，若提到“Cathodic Protection”，对应的是哪个术语？,“Cathodic Protection”对应“阴极防护”。,
82号建议案验船师术语表.csv,请用中英混合方式说明 Bulkhead Deck 的定义。,Bulkhead Deck 指承载横向水密舱壁和船壳的最上面连续甲板。,
82号建议案验船师术语表.csv,在中英混用的检验沟通中，如何表达“升降口”？,可表述为“升降口 / Companion Way”，其定义是：从船舶甲板通至以下处所的水密入口。,
82号建议案验船师术语表.csv,若某损坏特征描述为“船舶与非船舶发生碰撞后造成的损坏”，应逆向检索到哪个术语？其中英文是什么？,应逆向检索到的术语是“接触损坏”，英文是“Contact Damage”。,
82号建议案验船师术语表.csv,请解释船舶专业术语“内底边板”的含义，并提供其标准英文名称。,“内底边板”的英文术语是 Margin Plate。其定义是：内底的舷外列板，当舷底弯折时，内底边板(或纵桁)将构成。,
82号建议案验船师术语表.csv,在检验沟通中，如何用中英混合方式指代“舱壁结构”？,可说“舱壁结构 / Bulkhead Structure”，其定义是带有扶强材和桁材的横舱壁或纵舱壁。,
82号建议案验船师术语表.csv,在中英混用的检验沟通中，如何表达“凹痕”？,可直接表达为“凹痕（Indent）”。,
82号建议案验船师术语表.csv,在中英混用的检验沟通中，如何把“镀锌”准确表达为英文术语？,可直接表达为 Galvanizing。,
82号建议案验船师术语表.csv,如果某结构是“带有扶强材和桁材的横舱壁或纵舱壁”，应检索哪个术语？,应检索“舱壁结构”，英文为 Bulkhead Structure。,
82号建议案验船师术语表.csv,“排泄口（Discharges）”与“深舱（Deep Tank）”有什么区别？,“排泄口（Discharges）”是穿过船侧的管道系统，用于输送舭部污水、循环污水、排水等；“深舱（Deep Tank）”是从船底或内船底向上延伸至或高于最低层甲板的液舱。,
82号建议案验船师术语表.csv,请解释船舶专业术语“甲板边板（Stringer Plate）”的含义，并提供其标准英文名称。,“甲板边板”的英文术语是“Stringer Plate”。其定义是：甲板板的外部列板。,
82号建议案验船师术语表.csv,如果现场描述为“主要出现在水平面和存水的结构处，特别是液舱底部的局部随机”，应检索到哪个术语？,应检索到的术语是：凹蚀 / Pitting Corrosion。,
82号建议案验船师术语表.csv,请精准解释船舶术语“甲板结构”，并给出其标准英文名称。,“甲板结构”的标准英文名称是 Deck Structure。其定义是：由扶强材、桁材和支柱组成的甲板板。,
82号建议案验船师术语表.csv,请解释船舶专业术语“应力腐蚀”是什么意思，并给出英文术语。,“应力腐蚀”的英文术语是 Stress Corrosion。其定义是：腐蚀性环境的拉力应力下区域的先腐蚀，单独的环境不会造。,
82号建议案验船师术语表.csv,现场沟通中，验船师说：This coating defect is Pinholing。这里的“Pinholing”用中文应如何表达？其定义是什么？,这里的“Pinholing”中文应表达为“针眼”。其定义是：露出基底的细小的深洞。,
82号建议案验船师术语表.csv,船舶专业术语“舱口通道”的含义是什么？其标准英文名称是什么？,“舱口通道”的英文术语是 Hatch Ways。其定义是：船甲板上提供进入下部舱室通道的形状通常为矩形的开口。,
82号建议案验船师术语表.csv,如果检验记录描述为“金属表面出现以形状不规则的凹蚀为特征的退化”，应逆向检索到哪个术语？,应逆向检索到“的液体槽的形成和解体有关的”，因为其定义正是“以形状不规则的凹蚀为特征的金属表面的退化”。,
82号建议案验船师术语表.csv,请对“状况评估计划（CAP）”和“状况检验（Condition Survey）”进行对比。,“状况评估计划（CAP）”是承租人和船东均可使用的、可在检查时对油船的实际状况给出详细；“状况检验（Condition Survey）”通常为有限范围和时间内的检验，用于确认任何预期的与结。,
82号建议案验船师术语表.csv,请精准解释船舶/验船术语“吹净”，并给出其标准英文名称。,“吹净”的英文术语是 Blasting or Shot-Blasting。其定义是：用研磨微粒喷流对金属表面进行的清洗。,
82号建议案验船师术语表.csv,在中英混用的检验沟通中，如何表述“列板”？,可表述为“列板 / Strake”，其定义是一组或一排船壳板、甲板板、舱壁或其他板。,
82号建议案验船师术语表.csv,现场中英混用沟通时，验船师说：这里不是 Active Corrosion，而是“蚀”。这句话按术语定义应如何理解？,这句话表示：该处应判定为“蚀”，其定义是“产生疏松的锈皮”；而不是“Active Corrosion”，即“强烈腐蚀”，其定义是“由大气、水气或其他物质引起的对金属逐步的化学或电化腐”。,
82号建议案验船师术语表.csv,“水力气动试验 / Hydropneumatic Testing”和“冲水试验 / Hose Testing”有什么区别？,水力气动试验是水压试验和空气试验的结合试验；冲水试验是“在没有进行结构(水静力)试验或泄漏试验的情况下，为证明结”。,
82号建议案验船师术语表.csv,在中英混用沟通中，如何表达“防腐系统”？,可直接说“防腐系统”，英文为 Corrosion Prevention System。,
82号建议案验船师术语表.csv,“货物区域”和“舷墙（Bulwark）”有什么区别？,“货物区域”是 Cargo Area 或Cargo Length Area，指包括船舶上的货舱、液货舱/污油水舱及相；“舷墙（Bulwark）”是围绕露天甲板位于船舶侧壁上部边缘正上方的垂直板。,
GBT+12926-2025船舶工艺术语 船舶建造质量检验（国标）.csv,请准确解释船舶检验术语“舷梯强度试验”，并给出其标准英文名称。,"“舷梯强度试验”的标准英文名称是 proof load test for accommodation ladder。其定义是：舷梯装船后,将试验重量施加在其上以检查其强度、各旋转部分的灵活性以及上下平台有无裂缝和 变形的试验。",
