文件名,问题,回答,评分,说明评分原因
01 材料与焊接（船用金属材料检验）（张强）.pdf,船用金属材料的抗拉强度、屈服强度、伸长率以及断面收缩率应通过哪种材料性能试验测定？,拉伸试验,,
01 材料与焊接（船用金属材料检验）（张强）.pdf,对极地船舶、LNG运输船等特殊船舶，低温冲击试验可采用哪些温度来验证材料低温韧性并防止冷脆失效？,-20℃、-40℃,,
01 材料与焊接（船用金属材料检验）（张强）.pdf,钢材表面缺陷采用局部打磨方法消除后，任何部位的厚度、单个修磨面积和总修磨面积分别应满足哪些限制要求？,任何部位的厚度应不小于公称厚度的93%，且减薄量应不大于3mm；单个修磨面积不能大于0.25 m2；总修磨面积不能大于钢板总面积的2%。,,
01 材料与焊接（船用金属材料检验）（张强）.pdf,铸钢件现场检验中，验船师应核查哪些无损检测已经进行？,超声波检测、磁粉检测、着色检测等。,,
01 材料与焊接（船用金属材料检验）（张强）.pdf,锻钢件表面轻微缺陷采用鈚凿或修磨去除时，凿削或修磨宽度与深度的比例要求是什么？,凿削或修磨的宽度应不小于深度的3倍,,
02 材料与焊接（焊接基础知识）（张强）.pdf,船舶建造过程中，焊接工作量占船体建造总工程量的比例是多少？,30%到40%,,
02 材料与焊接（焊接基础知识）（张强）.pdf,半自动CO2气体保护焊单面焊在风速达到多少时应采取防风措施？,2米/秒,,
02 材料与焊接（焊接基础知识）（张强）.pdf,船体焊缝布置要求中，对接焊缝之间的平行距离应不小于多少毫米？,100mm,,
02 材料与焊接（焊接基础知识）（张强）.pdf,低氢碱性焊条打开密封容器后，应存放于不低于多少摄氏度的烘箱中贮存？,120℃,,
02 材料与焊接（焊接基础知识）（张强）.pdf,焊接环境要求中，严禁在环境温度低于多少摄氏度时进行任何焊接工作？,-20°C,,
02 材料与焊接（焊接基础知识）（张强）.pdf,未熔合缺陷是指焊缝金属与母材或焊道之间出现什么情况？,没有熔合,,
02 材料与焊接（焊接基础知识）（张强）.pdf,未焊透缺陷的定义是什么，其在表格中列出的主要产生原因有哪些？,未焊透：熔敷金属未能到达应焊到的部位。主要产生原因：热输入过小、接头设计不合理。,,
02 材料与焊接（焊接基础知识）（张强）.pdf,气孔缺陷产生的主要原因是什么，避免气孔的主要措施包括哪些？,"气孔产生的主要原因：凝固过程中过剩气体从金属中析出，但未排出。

避免气孔的主要措施包括：
1. 清理工件表面
2. 按规定烘焊条
3. 气保护焊应保证送气通畅并注意防风",,
02 材料与焊接（焊接基础知识）（张强）.pdf,对于需要焊补的焊接缺陷，焊补前应如何确认缺陷已彻底清除？,必要时可用无损检测的方法进行检查以证实缺陷确已清除。,,
02 材料与焊接（焊接基础知识）（张强）.pdf,焊缝经修补后应进行哪些检查，焊缝质量应满足什么要求？,焊缝经修补后应对该处进行外观检查和相应的无损检测，焊缝质量应符合验收标准的要求。,,
03 船舶无损检测简介（张强）.pdf,根据GB/T 20737-2006《无损检测 通用术语和定义》，无损检测的目的包括探测、定位、测量和评价伤，以及评价哪些内容和测量哪些特性？,评价完整性、性质和构成；测量几何特性,,
03 船舶无损检测简介（张强）.pdf,船体结构中的全熔透对接焊缝、全熔透角焊缝和T形焊缝分别宜采用哪些无损检测方法？,船体结构中的全熔透对接焊缝宜用射线方法或超声波方法进行检测，全熔透的角焊缝和T形焊缝宜用超声波方法进行检测。,,
03 船舶无损检测简介（张强）.pdf,对于规定最小屈服强度为420 N/mm²至690 N/mm²的焊接结构用高强度钢，焊接完成后多少小时内不得进行无损检测？,48小时内,,
03 船舶无损检测简介（张强）.pdf,对于LNG和LPG船舶的整体液货舱或独立液货舱的全焊透焊缝，当采用CB或JIS标准时，其无损检测验收等级应为何级？,I级,,
03 船舶无损检测简介（张强）.pdf,TOFD技术和PAUT技术分别适用于母材厚度不小于多少毫米的全熔透焊缝质量检测？,TOFD技术适用于母材厚度≥10mm的全熔透焊缝质量检测；PAUT技术适用于母材厚度≥6mm的全熔透焊缝质量检测。,,
04 船舶载重线检验（张强）.pdf,国际载重线公约不适用于哪些从事国际航行的船舶类型？,军舰；长度小于24米（79英尺）的新船；小于150总吨的现有船舶；非营业游艇；渔船。,,
04 船舶载重线检验（张强）.pdf,核定的干舷在船中处应如何测量？,从甲板线的上边缘向下量至相关载重线的上边缘的垂直距离。,,
04 船舶载重线检验（张强）.pdf,载重线标志中的圆圈外径、圆圈宽度、水平线长度和水平线宽度分别是多少？,300 mm、25 mm、450 mm、25 mm,,
04 船舶载重线检验（张强）.pdf,在位置1和位置2的舱口围板，其在甲板上的最小高度分别应为多少？,位置1为600 mm，位置2为450 mm。,,
04 船舶载重线检验（张强）.pdf,所有露天甲板四周装设的栏杆或舷墙，其高度应至少离甲板多少？,1 m,,
04 船舶载重线检验（张强）.pdf,装设在上层建筑和干舷甲板上的栏杆至少应有几档，且最低一档以下开口和其他各档间隙分别不得超过多少毫米？,至少三档；最低一档以下开口不超过230 mm，其他各档间隙不超过380 mm。,,
04 船舶载重线检验（张强）.pdf,油船通往船首的固定步桥应提供的连续平台最小宽度是多少，且两侧栏杆最低高度是多少？,连续平台至少宽1 m，两侧栏杆至少高1 m。,,
04 船舶载重线检验（张强）.pdf,当固定步桥横穿的露天甲板长度超过70 m时，遮蔽设施的设置间距不得超过多少米，且每个遮蔽设施至少应满足什么防护要求？,间距不超过45 m；每个遮蔽设施应至少能容纳一人，且其结构应能在前部、左舷和右舷提供风雨防护。,,
04 船舶载重线检验（张强）.pdf,国际载重线公约中船舶类型具体分为哪几类？,A型船舶、B型船舶、增加干舷的B型船舶、减小干舷的B-60型船舶、减小干舷的B-100型船舶,,
04 船舶载重线检验（张强）.pdf,最小夏季干舷公式F = F0 + F1 + F2 + F3 + F4 + F5中，A型、B型、B-60型船舶的F最小值不得小于多少毫米？,50mm,,
1.1 船舶管系与动力装置建造中检验与案例.pdf,管子及附件装船前液压试验中，哪些Ⅰ级、Ⅱ级管系以及设计压力超过多少MPa的系统及附件应进行液压试验？,所有Ⅰ级和Ⅱ级管系以及设计压力>0.35MPa的蒸汽、给水、压缩空气、滑油和燃油管系及其附件均应进行液压试验。,,
1.1 船舶管系与动力装置建造中检验与案例.pdf,管系液压试验的试验压力一般应按什么公式确定，且管子应在试验压力下保持多长时间？,Ps＝1.5P；10-30min,,
1.1 船舶管系与动力装置建造中检验与案例.pdf,用于Ⅰ级和Ⅱ级管系且与管系非一体式的阀和附件，装船前液压试验压力不应小于设计压力的多少倍？,1.5倍,,
1.1 船舶管系与动力装置建造中检验与案例.pdf,距离高温热表面多少摄氏度及以上、750mm以内及上方的燃油和滑油油管法兰，应采取哪些防飞溅保护措施？,距离高温热表面（220℃及以上）750mm以内及上方的燃油、滑油油管法兰，应使用钢质罩壳或使用经本社认可的防护胶带。,,
1.1 船舶管系与动力装置建造中检验与案例.pdf,轴系安装和校中检验原则中，尾轴与艉轴管后轴承的相对倾角大于多少rad的轴系属于需重点关注和控制的船舶轴系？,2.0x10-4rad,,
1.1 船舶管系与动力装置建造中检验与案例.pdf,轴系安装和校中检验原则中，尾轴与轴承的相对倾角应与哪一份计算书保持一致，其目的是什么？,尾轴与轴承的相对倾角应同轴系校中计算书保持一致，以减轻螺旋桨对尾轴的悬臂梁作用。,,
